from	to	weight
1735003	1937197	3.0
7833215	7833215	3.0
1658670	5465700	3.0
7913721	130288	7.0
1090562	1735003	1.0
645853	1735003	3.0
645853	1090562	2.0
1738214	1714410	1.0
1862500	5453184	6.0
5453184	5453184	4.0
7847518	7214344	3.0
7906238	7214344	3.0
562222	2001031	4.0
6398153	6398153	2.0
6861168	102441	2.0
3041068	5215538	6.0
6216713	5215538	4.0
1965914	628538	1.0
4405852	5974433	2.0
7822551	6791223	1.0
4938706	6416660	1.0
6363322	4790871	3.0
6748899	5974433	7.0
814601	814601	3.0
6459078	6471140	3.0
3109554	3109554	1.0
3109554	7471933	1.0
5848524	4356204	3.0
5848524	4356204	1.0
7248907	992489	1.0
7201349	6622817	2.0
3548063	7137636	1.0
7761714	7137636	3.0
7124519	7124519	1.0
2857133	2857133	2.0
2857133	2857133	3.0
6807211	5352399	9.0
1348187	773226	2.0
7664949	7664949	1.0
121687	3574081	6.0
6059430	3574081	3.0
3482336	3260576	1.0
1832454	130288	6.0
7137636	5974433	1.0
5848524	5974433	1.0
5107084	992489	1.0
728785	5098368	15.0
3993741	3994824	5.0
3009514	3928385	3.0
3813428	2217210	4.0
7008017	3260576	1.0
5974433	3994824	1.0
2467772	1714410	1.0
3994824	1862500	1.0
7137636	1862500	1.0
5107084	562769	2.0
3218279	5903959	2.0
7137636	349130	2.0
6380584	7549930	1.0
2414957	7119965	2.0
2414957	7119965	2.0
6039807	121687	1.0
5107084	419116	2.0
4140027	5352399	1.0
4140027	349130	1.0
1454804	2704763	4.0
1097347	2704763	2.0
6182430	3574081	3.0
7349628	6253353	1.0
6622817	901925	2.0
7115857	901925	2.0
3052835	5974433	1.0
6182430	349130	3.0
1934212	5974433	1.0
3994824	969289	6.0
766391	969289	2.0
628538	1714410	1.0
541106	121687	7.0
2414957	2217210	6.0
4730816	3994824	1.0
4730816	969289	1.0
6469175	3697202	3.0
7395893	7335632	1.0
5620182	5465700	1.0
4437954	7349628	2.0
4993221	419116	3.0
5908403	419116	1.0
6786718	4221706	1.0
6786718	1714410	1.0
5645605	3994824	3.0
6631259	4678222	3.0
893697	992489	1.0
3886429	3886429	3.0
3262787	1951176	1.0
2479950	3111778	1.0
2479950	3111778	1.0
6916184	2658050	2.0
2542738	6791223	2.0
3830011	3830011	1.0
4652058	6735980	2.0
2476920	3928385	5.0
1602876	3574081	4.0
610569	5098368	2.0
3480922	5951780	3.0
4360966	1714410	1.0
5651936	419116	2.0
5257450	5098368	1.0
390587	6392807	1.0
2411320	4452469	3.0
5951780	5786837	2.0
1883727	5098368	1.0
5651936	3574081	5.0
2147347	5132595	3.0
6213491	5132595	3.0
3009514	1714410	2.0
4160135	3574081	3.0
2909770	1883727	1.0
1245418	773226	2.0
6095189	3928385	6.0
6095189	3928385	6.0
5714586	3928385	1.0
364772	3928385	4.0
2527680	3928385	2.0
1303432	691733	2.0
5417164	1397061	3.0
2990927	3574081	7.0
5452997	3574081	8.0
3251207	5545260	1.0
5257450	3928385	2.0
3427580	1714410	2.0
5551505	3314143	2.0
859453	3314143	1.0
4201966	1714410	1.0
3314143	3574081	1.0
2527680	1714410	5.0
